"Id";"Descricao";"Tema_id";"Ativo"
"1";"Abordagem social";"3";"1"
"2";"Retirada de morador de rua";"3";"0"
"3";"Assistência a pessoa em situação de rua";"3";"1"
"4";"Vagas no albergue";"3";"0"
"5";"Abrigo para necessitados";"3";"0"
"6";"Centro de Referência em Assistência Social – CRAS";"3";"0"
"7";"Vagas para atendimento em unidade do CRAS";"3";"0"
"8";"Agendamento em Serviços Públicos";"13";"1"
"9";"Centro de Referência Especializado de Assistência Social – CREAS";"3";"1"
"10";"Vagas para atendimento em unidade do CREAS";"3";"0"
"11";"Centro de Referência Especializado para Pessoas em Situação de Rua - Centro POP";"3";"1"
"12";"Centro de Orientação Sócio-educativo  – COSE";"3";"0"
"13";"Centro de Referência da Diversidade Sexual, Religiosa e Racial";"3";"1"
"14";"Unidades de Acolhimento Institucional";"3";"1"
"15";"Unisuas Central de Vagas e Atendimento Emergencial";"3";"0"
"16";"Programas Sociais";"3";"1"
"17";"Alteração de dados no Cadastro Único para Programas Sociais";"3";"0"
"18";"Pagamento de benefício dos Programas Sociais";"3";"0"
"19";"Recebimento irregular de programas sociais";"3";"1"
"20";"Programa Auxílio Brasil (Bolsa Família)";"3";"1"
"21";"Revisão de valor do benefício de programas sociais";"3";"0"
"22";"Cancelamento,suspensão de benefício de programas sociais";"3";"0"
"23";"Acesso a programas sociais";"3";"0"
"24";"Pagamento irregular de beneficiário de programas socias";"3";"0"
"25";"Recadastramento para programas sociais";"3";"0"
"26";"Funcionamento de programa";"3";"0"
"27";"Auxílio Vulnerabilidade";"3";"1"
"28";"Cadastro Único para Programas Sociais";"3";"1"
"29";"Cesta Emergencial";"3";"1"
"30";"Pagamento de Benefício Social suspenso após recadastramento";"3";"0"
"31";"Averiguação e revisão do Cadastro Único para programas sociais";"3";"0"
"32";"Irregularidades em programas sociais";"3";"1"
"33";"Recebimento do benefício social auxílio natalidade";"3";"0"
"34";"Recebimento do benefício social auxílio funeral";"3";"0"
"35";"Quantidade de servidores no órgão,entidade pública";"13";"1"
"36";"Restaurante do Anexo do Palácio do Buriti";"13";"1"
"37";"Remuneração de Servidor Público do DF";"13";"0"
"38";"Atendimento preferencial em órgão público";"13";"1"
"39";"Entidades sociais conveniadas";"3";"1"
"40";"Assedio sexual no serviço público";"13";"1"
"41";"Idoso";"8";"1"
"42";"Idoso em situação de risco";"3";"0"
"43";"Violência contra o idoso";"3";"0"
"44";"Falta de assistência social ao idoso";"8";"0"
"45";"Assistência ao idoso carente";"3";"0"
"46";"Fiscalização nas entidades de atendimento ao idoso";"3";"0"
"47";"Desrespeito a prioridade de idoso na tramitação processual";"3";"0"
"48";"Falta de atendimento preferencial ao idoso";"3";"0"
"49";"Carteira interestadual do idoso";"3";"0"
"50";"Trabalho";"11";"1"
"51";"Agência do Trabalhador";"11";"1"
"52";"Carteira de Trabalho";"11";"1"
"53";"Dificuldade para fazer a carteira de trabalho";"3";"0"
"54";"Demora na liberação da carteira de trabalho";"3";"0"
"55";"Agência virtual do trabalhador";"11";"1"
"56";"Sistema do MTE fora do ar";"3";"0"
"57";"Tempo de espera para atendimento em órgão,entidade pública";"13";"1"
"58";"FUNGER -  Fundo para a Geração de Emprego e Renda do DF";"11";"1"
"59";"Renegociação de dívida do FUNGER";"3";"0"
"60";"Seguro desemprego";"11";"1"
"61";"Microcrédito";"11";"1"
"62";"Demora na liberação do recurso do FUNGER";"3";"0"
"63";"Solicitação de emprego";"11";"1"
"64";"Trabalhador autônomo";"11";"1"
"65";"Empreendedorismo";"11";"1"
"66";"agência do trabalhador";"3";"0"
"67";"Discriminação";"3";"1"
"68";"Discriminação étnico-racial";"3";"1"
"69";"Discriminação religiosa";"3";"1"
"70";"Discriminação por orientação sexual";"3";"1"
"71";"Discriminação da pessoa idosa";"3";"0"
"72";"Discriminação contra a mulher";"3";"1"
"73";"Assistência a Pessoa com Deficiência - PCD";"3";"1"
"74";"assistência a deficientes físicos";"3";"0"
"75";"assistência a deficiente mental";"3";"0"
"76";"Carteira para pessoa com deficiência (PCD)";"3";"1"
"77";"Cartão PCD";"12";"1"
"78";"Cartão Idoso do Sistema de Bilhetagem automática - SBA";"12";"0"
"79";"Centro de Intérpretes de línguas";"3";"1"
"80";"Restaurante Comunitário";"3";"1"
"81";"Falta de atualização do cardápio";"3";"0"
"82";"Quantidade de comida insuficiente";"3";"0"
"83";"Limpeza dos restaurantes comunitários";"3";"0"
"84";"Tempo de espera na fila do restaurante comunitário";"3";"0"
"85";"Direitos Humanos";"3";"1"
"86";"Políticas de combate ao racismo";"3";"1"
"87";"Mulher";"3";"0"
"88";"Violência contra a mulher";"3";"1"
"89";"Violência contra a mulher no transporte público";"3";"1"
"90";"Casa abrigo - acolhimento institucional para mulheres vítimas de violência";"8";"1"
"91";"Núcleo de atendimento a família e aos autores de violência doméstica – Nafavd";"3";"1"
"92";"Centro especializado de atendimento à mulher – Ceam";"3";"1"
"93";"Unidades móveis de atendimento as mulheres do campo e do cerrado";"3";"1"
"94";"Cobrança de valores na conta de água CAESB";"7";"1"
"95";"Captação de água de córrego ou rio";"7";"1"
"96";"Captação de água de nascente";"7";"1"
"97";"Captação por caminhões pipa de água de córregos,rios";"7";"1"
"98";"Captação por meio de canais em corpos hídricos do DF";"7";"1"
"99";"Lançamento de efluentes em corpos hídricos do DF";"7";"1"
"100";"Perfuração de poço artesiano e,ou cisterna";"7";"1"
"101";"Lançamento de águas pluviais em corpo hídrico do DF";"7";"1"
"102";"Implantação de  barragens em corpos hídricos do DF";"7";"1"
"103";"Desassoreamento em corpos hídricos do DF (Autorização)";"7";"1"
"104";"Fechamento de poço artesiano ou cisterna sem os procedimentos regulamentados";"7";"1"
"105";"Serviços públicos de água e saneamento, prestados pela Caesb em desacordo com as normas reguladas pela Adasa";"7";"1"
"106";"Serviços públicos de água e saneamento, prestados pela Novacap em desacordo com as normas reguladas pela Adasa";"7";"1"
"107";"Serviços públicos de água e saneamento, prestados pelo SLU em desacordo com as normas reguladas pela Adasa";"7";"1"
"108";"Retirada de Entulho";"7";"0"
"109";"Alistamento ao Serviço Militar";"8";"1"
"110";"Planta de imóvel, localizado na jurisdição da Região Administrativa";"7";"1"
"111";"Retirada de faixas de publicidade irregular em área pública";"7";"1"
"112";"Licença eventual para eventos em espaço público ou privado";"7";"1"
"113";"Biblioteca pública";"7";"1"
"114";"Licença de Funcionamento , Alvará";"7";"1"
"115";"Alvará de funcionamento";"7";"0"
"116";"Carta de Habite-se";"7";"1"
"117";"Licença de Demolição";"7";"1"
"118";"Licença de Publicidade";"7";"1"
"119";"Licença de Reforma";"7";"1"
"120";"Licença de Tapume";"7";"1"
"121";"Licença de Obras";"7";"1"
"122";"Solicitação de Mapas";"7";"1"
"123";"Consulta de dimensões oficiais de lotes particulares";"7";"1"
"124";"Curso profissionalizante";"13";"1"
"125";"Laudo de topografia";"7";"1"
"126";"Evento esportivo cultural e de lazer";"2";"1"
"127";"Licença para quiosques e bancas de jornais";"7";"1"
"128";"Licença para bancas de feira";"7";"1"
"129";"Licença de funcionamento de comércio local estabelecido";"7";"1"
"130";"Licença eventual (uso do espaço público por período limitado)";"7";"1"
"131";"Pista de skate";"14";"1"
"132";"Atestado de conclusão (concedida às obras objetos de licença, como obras em geral e edificações provisórias)";"7";"1"
"133";"Consulta prévia";"7";"0"
"134";"Fiscalização em Obra em Área Regular";"7";"1"
"135";"Fiscalização em Obra em Área em Regularização";"7";"1"
"136";"Fiscalização em Obra em área ilegal";"7";"1"
"137";"Fiscalização em Obra em área pública residencial";"7";"1"
"138";"Fiscalização em Obra em área pública comercial";"7";"1"
"139";"Fiscalização em Parcelamento irregular do solo";"7";"1"
"140";"Fiscalização em Acessibilidade";"7";"1"
"141";"Fiscalização em Obra em situação de risco";"7";"1"
"142";"Fiscalização em Manutenção e conservação do imóvel";"7";"1"
"143";"Fiscalização em Canteiro de obras";"7";"1"
"144";"Fiscalização em Cercamento em área pública residencial";"7";"1"
"145";"Fiscalização em Cercamento em área pública comercial";"7";"1"
"146";"Fiscalização em Antena de telefonia celular - ERB";"7";"1"
"147";"Fiscalização em Central de gás";"8";"1"
"148";"Fiscalização em Agência de veículos";"7";"1"
"149";"Fiscalização em bares, lanchonete e restaurante";"13";"1"
"150";"Fiscalização em Instituições de ensino";"7";"1"
"151";"Fiscalização em Lava-jato";"7";"1"
"152";"Fiscalização em Loja de material de construção";"7";"1"
"153";"Fiscalização em Oficina mecânica";"7";"1"
"154";"Fiscalização em Posto de combustível,loja de conveniência";"7";"1"
"155";"Fiscalização em Pousada,hotel";"7";"1"
"156";"Fiscalização em Serralheria,marcenaria, marmoraria";"7";"1"
"157";"Fiscalização em Templo religioso";"7";"1"
"158";"Fiscalização em Comércio estabelecido com mercadorias,equipamentos em área pública";"7";"1"
"159";"Fiscalização em Banca de revistas";"7";"1"
"160";"Fiscalização em Mobiliário Urbano";"7";"1"
"161";"Fiscalização em Feiras";"7";"1"
"162";"Fiscalização em Quiosque,trailer,food truck,similares";"7";"1"
"163";"Fiscalização em Propaganda em área privada";"7";"1"
"164";"Fiscalização em Propaganda em área pública";"7";"1"
"165";"Fiscalização de Ambulantes";"7";"1"
"166";"Fiscalização em Casas Noturnas";"7";"1"
"167";"Fiscalização em Eventos,festas particulares";"2";"1"
"168";"Fiscalização em Águas servidas";"9";"1"
"169";"Fiscalização em Contêiner, recipiente para lixo (conservação)";"9";"1"
"170";"Fiscalização em Entulho,resíduo em área pública";"7";"1"
"171";"Fiscalização em Lixo fora do horário de coleta";"9";"1"
"172";"Fiscalização em Lote vazio sujo";"7";"1"
"173";"Fiscalização em Resíduos de saúde";"10";"1"
"174";"Fiscalização em Resíduos perigosos";"10";"1"
"175";"Fiscalização em Colagem de cartazes (bens públicos)";"7";"1"
"176";"Fiscalização em Faixas,panfletos";"7";"1"
"177";"Atraso no repasse de verba";"13";"0"
"178";"Acesso a documentos em órgãos,entidades públicas";"13";"0"
"179";"Instalações inadequadas do órgão,entidade pública";"13";"1"
"180";"Destrato praticado por servidor";"13";"0"
"181";"Sistema bancário fora do ar";"6";"1"
"182";"Atendimento presencial prestado pelo banco";"6";"1"
"183";"Teleatendimento prestado pelo banco";"6";"1"
"184";"Descontos errados no banco";"6";"1"
"185";"Caixa eletrônico";"6";"1"
"186";"Brb banknet";"6";"1"
"187";"Site do BRB";"6";"1"
"188";"Empréstimos";"6";"1"
"189";"Serviços BRB";"6";"1"
"190";"Vazamento de esgoto";"14";"1"
"191";"Vazamento de água";"9";"1"
"192";"Falta de água";"9";"1"
"193";"Pressão de água";"9";"1"
"194";"Conta de água";"9";"1"
"195";"Atendimento 115";"9";"1"
"196";"Instalação de fossa";"9";"1"
"197";"Religação de água";"9";"1"
"198";"Recuperação de calçada";"9";"0"
"199";"Ligação de água";"9";"1"
"200";"Inspeção rede de água";"9";"1"
"201";"Inspeção rede de esgotos";"9";"1"
"202";"Funcionamento do hidrômetro";"9";"1"
"203";"Ligação clandestina de água";"9";"1"
"204";"Implantação de rede de esgoto";"14";"1"
"205";"Desmembramento da ligação de água";"9";"1"
"206";"Ligação clandestina de esgotos";"9";"1"
"207";"Qualidade da água";"9";"1"
"208";"Conduta no atendimento prestado";"13";"0"
"209";"Corte de água";"9";"1"
"210";"Cobrança de serviços";"9";"0"
"211";"Ligação de esgotos";"9";"1"
"212";"Débito automático da conta de água";"9";"1"
"213";"Entrega da conta de água";"9";"1"
"214";"Andamento de obras da CAESB";"9";"1"
"215";"Impossibilidade de leitura de hidrômetro por impedimentos";"9";"1"
"216";"Saneamento básico";"9";"1"
"217";"Despejo irregular de resíduos químicos na água, esgoto";"9";"1"
"218";"Agendamento em serviços da CAESB";"9";"1"
"219";"Tratamento de efluentes e resíduos";"9";"1"
"220";"Atendimento prioritário/preferencial em órgão público";"13";"1"
"221";"Atendimento nas agências da CAESB";"9";"1"
"222";"Discordância referente ao valor da tarifa de água";"9";"1"
"223";"Funcionamento das agências da CAESB";"9";"1"
"224";"Andamento de processo de multas na CAESB";"9";"1"
"225";"Prazo de atendimento dos serviços prestados pela CAESB";"9";"1"
"226";"Ação da diretoria";"9";"0"
