"Id";"Descricao";"Ativo"
"1";"RA-PP (Plano Piloto)";"1"
"2";"RA-GAMA";"1"
"3";"RA-TAG (Taguatinga)";"1"
"4";"RA-BRAZ (Brazlândia)";"1"
"5";"RA-SOBR (Sobradinho)";"1"
"6";"RA-PLAN (Planaltina)";"1"
"7";"RA-PAR (Paranoá)";"1"
"8";"RA-NB (Núcleo Bandeirante)";"1"
"9";"RA CEIL (Ceilândia)";"1"
"10";"RA GUAR (Guará)";"1"
"11";"RA CRUZ (Cruzeiro)";"1"
"12";"RA SAM (Samambaia)";"1"
"13";"RA SANT (Santa Maria)";"1"
"14";"RA SAO (São Sebastião)";"1"
"15";"RA REC (Recanto das Emas)";"1"
"16";"RA LS (Lago Sul)";"1"
"17";"RA RFI (Riacho Fundo - I)";"1"
"18";"RA LN (Lago Norte)";"1"
"19";"RA CAND (Candangolândia)";"1"
"20";"RA AC (Águas Claras)";"1"
"21";"RA RFII (Riacho Fundo - II)";"1"
"22";"RA SUDO (Sudoeste/Octogonal)";"1"
"23";"RA VARJ (Varjão)";"1"
"24";"RA PW (Park Way)";"1"
"25";"RA SCIA (Setor Complementar de Indústria e Abastecimento, Cidade Estrutural e Cidade do Automóvel)";"1"
"26";"RA SOBRII (Sobradinho - II)";"1"
"27";"RA JB (Jardim Botânico)";"1"
"28";"RA ITAP (Itapoã)";"1"
"29";"RA SIA Setor de Indústria e Abastecimento)";"1"
"30";"RA VP (Vicente Pires)";"1"
"31";"RA FERC (Fercal)";"1"
"32";"RA SOL (Sol Nascente/Pôr do Sol)";"1"
"33";"RA ARNQ (Arniqueira)";"1"
"34";"RA RA-ARAP (Arapoanga)";"1"
"35";"RA - AQ (Água Quente)";"1"
