"Id";"Descricao";"TipoUnidade_id";"Ativo";"NomeExibicao"
"01";"OGDF-Ouvidoria Geral do Distrito Federal";"1";"1";"OGDF"
"01001";"SES - Secretaria de Estado de Saúde do Distrito Federal";"3";"1";"SES"
"01001001";"Instituto de Gestão Estratégica em Saúde - IGESDF";"4";"1";"IGESDF"
"01001001001";"NÚCLEO DE CONTROLE DE INFECÇÃO HOSPITALAR/HBDF";"4";"0";"NCIH/HBDF"
"01001001002";"NÚCLEO DE VIGILÂNCIA EPIDEMIOLÓGICA/HBDF";"4";"0";""
"01001001003";"NÚCLEO DE QUALIDADE E SEGURANÇA DO PACIENTE/HBDF";"4";"0";"NQSP/HBDF"
"01001001004";"NÚCLEO DE TECNOLOGIA DA INFORMAÇÃO/HBDF";"4";"0";"NTINF/HBDF"
"01001001005";"DIRETORIA DE ATENÇÃO À SAÚDE/HBDF";"4";"0";"DAS/HBDF"
"01001001005001";"GERÊNCIA DE FARMÁCIA/HBDF";"4";"0";"GENFAR/DAS/HBDF"
"01001001005001001";"NÚCLEO DE FARMÁCIA CLÍNICA/HBDF";"4";"0";"NFC/GENFAR/DAS/HBDF"
"01001001005001002";"NÚCLEO DE LOGÍSTICA FARMACÊUTICA/HBDF";"4";"0";"NLF/GENFAR/HBDF"
"01001001005002";"GERÊNCIA DE MEDICINA INTERNA/HBDF";"4";"0";"GMI/DAS/HBDF"
"01001001005002001";"UNIDADE DE ACUPUNTURIATRIA E FISIATRIA/HBDF";"4";"0";"UACF/GMI/DAS/HBDF"
"01001001005002002";"UNIDADE DE ALERGIA E IMUNOLOGIA/HBDF";"4";"0";"UALERGI/GMI/DAS/HBDF"
"01001001005002003";"UNIDADE DE CARDIOLOGIA/HBDF";"4";"0";"UCARD/GMI/DAS/HBDF"
"01001001005002004";"UNIDADE DE CLÍNICA MÉDICA/HBDF";"4";"0";"UCM/GMI/DAS/HBDF"
"01001001005002005";"UNIDADE DE CUIDADOS PALIATIVOS/HBDF";"4";"0";"UCPA/GMI/DAS/HBDF"
"01001001005002006";"UNIDADE DE ENDOCRINOLOGIA/HBDF";"4";"0";"UENDO/GMI/DAS/HBDF"
"01001001005002007";"UNIDADE DE GASTROENTEROLOGIA/HBDF";"4";"0";"UGAS/GMI/DAS/HBDF"
"01001001005002008";"UNIDADE DE HEMATOLOGIA E HEMOTERAPIA/HBDF";"4";"0";"UHH/GMI/DAS/HBDF"
"01001001005002009";"UNIDADE DE NEFROLOGIA/HBDF";"4";"0";"UNEFRO/GMI/DAS/HBDF"
"01001001005002010";"UNIDADE DE NEUROLOGIA/HBDF";"4";"0";"UNEURO/GMI/DAS/HBDF"
"01001001005002011";"UNIDADE DE ONCOLOGIA CLÍNICA/HBDF";"4";"0";"UONC/GMI/DAS/HBDF"
"01001001005002012";"UNIDADE DE PEDIATRIA/HBDF";"4";"0";"UPED/GMI/DAS/HBDF"
"01001001005002013";"UNIDADE DE PNEUMOLOGIA/HBDF";"4";"0";"UPNEUMO/GMI/DAS/HBDF"
"01001001005002014";"UNIDADE DE PSIQUIATRIA/HBDF";"4";"0";"UPSIQ/GMI/DAS/HBDF"
"01001001005002015";"UNIDADE DE REUMATOLOGIA/HBDF";"4";"0";"UREU/GMI/DAS/HBDF"
"01001001005002016";"NÚCLEO DE INFECTOLOGIA/HBDF";"4";"0";"UNINF/GMI/DAS/HBDF"
"01001001005003";"GERÊNCIA DE MEDICINA CIRÚRGICA/HBDF";"4";"0";"GMC/DAS/HBDF"
"01001001005003001";"UNIDADE DE ANESTESIOLOGIA E MEDICINA PERIOPERATORIA/HBDF";"4";"0";"UAMP/GMC/DAS/HBDF"
"01001001005003002";"UNIDADE DE ENDOSCOPIA RESPIRATÓRIA/HBDF";"4";"0";"UER/GMC/DAS/HBDF"
"01001001005003003";"UNIDADE DE CIRURGIA CARDÍACA/HBDF";"4";"0";"UCICAR/GMC/DAS/HBDF"
"01001001005003004";"UNIDADE DE CIRURGIA VASCULAR PERIFÉRICA/HBDF";"4";"0";"UCVP/GMC/DAS/HBDF"
"01001001005003005";"UNIDADE DE CIRURGIA GERAL/HBDF";"4";"0";"UCG/GMC/DAS/HBDF"
"01001001005003006";"UNIDADE DE CABEÇA E PESCOÇO/HBDF";"4";"0";"UCP/GMC/DAS/HBDF"
"01001001005003007";"UNIDADE DE CIRURGIA PEDIÁTRICA/HBDF";"4";"0";"UCIPED/GMC/DAS/HBDF"
"01001001005003008";"UNIDADE DE CIRURGIA TORÁCICA/HBDF";"4";"0";"UCT/GMC/DAS/HBDF"
"01001001005003009";"UNIDADE DE CIRURGIA ONCOLÓGICA/HBDF";"4";"0";"UCON/GMC/DAS/HBDF"
"01001001005003010";"UNIDADE DE GINECOLOGIA ONCOLÓGICA/HBDF";"4";"0";"UGON/GMC/DAS/HBDF"
"01001001005003011";"UNIDADE DE MASTOLOGIA/HBDF";"4";"0";"UMAST/GMC/DAS/HBDF"
"01001001005003012";"UNIDADE DE NEUROCIRURGIA/HBDF";"4";"0";"UOCB/GMC/DAS/HBDF"
"01001001005003013";"UNIDADE DE ODONTOLOGIA E CIRURGIA BUCO-MAXILO-FACIAL/HBDF";"4";"0";"UOCB/GMC/DAS/HBDF"
"01001001005003014";"UNIDADE DE OFTALMOLOGIA/HBDF";"4";"0";"UOF/GMC/DAS/HBDF"
"01001001005003015";"UNIDADE DE TRAUMATOLOGIA E ORTOPEDIA/HBDF";"4";"0";"UTO/GMC/DAS/HBDF"
"01001001005003016";"UNIDADE DE OTORRINOLARINGOLOGIA/HBDF";"4";"0";"UOTL/GMC/DAS/HBDF"
"01001001005003017";"UNIDADE DE PROCTOLOGIA/HBDF";"4";"0";"UPROCTO/GMC/DAS/HBDF"
"01001001005003018";"UNIDADE DE TERAPIA INTENSIVA ADULTO/HBDF";"4";"0";"UTI-ADU/GMC/DAS/HBDF"
"01001001005003019";"UNIDADE DE TERAPIA INTENSIVA INFANTIL/HBDF";"4";"0";"UTI-INF/GMC/DAS/HBDF"
"01001001005003020";"UNIDADE DE UROLOGIA/HBDF";"4";"0";"URO/GMC/DAS/HBDF"
"01001001005003021";"UNIDADE DE CENTRO CIRÚRGICO/HBDF";"4";"0";"UCCIR/GMC/DAS/HBDF"
"01001001005004";"GERÊNCIA DE APOIO DIAGNÓSTICO E TERAPÊUTICO/HBDF";"4";"0";"GADT/DAS/HBDF"
"01001001005004001";"NÚCLEO DE CITOPATOLOGIA E ANATOMIA PATOLÓGICA/HBDF";"4";"0";"NUCAP/GADT/DAS/HBDF"
"01001001005004002";"NÚCLEO DE HEMODINÂMICA/HBDF";"4";"0";"NHEMOD/GADT/DAS/HBDF"
"01001001005004003";"NÚCLEO DE PATOLOGIA CLÍNICA/HBDF";"4";"0";"NUPAC/GADT/DAS/HBDF"
"01001001005004004";"NÚCLEO DE RADIOLOGIA E IMAGENOLOGIA/HBDF";"4";"0";"NURI/GADT/DAS/HBDF"
"01001001005004005";"NÚCLEO DE RADIOTERAPIA/HBDF";"4";"0";"NURA/GADT/DAS/HBDF"
"01001001005004006";"NÚCLEO DE MEDICINA NUCLEAR/HBDF";"4";"0";"NMN/GADT/DAS/HBDF"
"01001001005005";"GERÊNCIA DE ASSISTENCIA MULTIDISCIPLINAR/HBDF";"4";"0";"GAM/DAS/HBDF"
"01001001005005001";"NÚCLEO DE PSICOLOGIA/HBDF";"4";"0";"NUPSI/GAM/DAS/HBDF"
"01001001005005002";"NÚCLEO DE NUTRIÇÃO E DIETÉTICA/HBDF";"4";"0";"NND/GAM/DAS/HBDF"
"01001001005005003";"NÚCLEO DE SERVIÇO SOCIAL/HBDF";"4";"0";"NSS/GAM/DAS/HBDF"
"01001001005005004";"NÚCLEO DE SAÚDE FUNCIONAL/HBDF";"4";"0";"NSF/GAM/DAS/HBDF"
"01001001005006";"GERÊNCIA DE ENFERMAGEM/HBDF";"4";"0";"GENF/DAS/HBDF"
"01001001005007";"GERÊNCIA DE EMERGÊNCIA/HBDF";"4";"0";"GEMERG/DAS/HBDF"
"01001001005008";"GERÊNCIA DE REGULAÇÃO, DOCUMENTAÇÃO E MOVIMENTAÇÃO DO USUÁRIO/HBDF";"4";"0";"GRDMU/DAS/HBDF"
"01001001005008001";"NÚCLEO DE AMBULATÓRIO/HBDF";"4";"0";"NAMB/GRDMU/DAS/HBDF"
"01001001005008002";"NÚCLEO DE GESTÃO DA INTERNAÇÃO/HBDF";"4";"0";"NGINT/GRDMU/DAS/HBDF"
"01001001005008003";"NÚCLEO DE MATRÍCULA, MARCAÇÃO DE CONSULTAS E PRONTUÁRIOS DE PACIENTES/HBDF";"4";"0";"NMMCPP/GRDMU/HBDF"
"01001001005008004";"NÚCLEO DE APOIO E REMOÇÃO DE PACIENTES/HBDF";"4";"0";"NARP/GRDMU/DAS/HBDF"
"01001001005008005";"NÚCLEO DE RECEPÇÃO DE EMERGÊNCIA/HBDF";"4";"0";"NUREM/GRDMU/DAS/HBDF"
"01001001005009";"GERÊNCIA DE ENSINO E PESQUISA/HBDF";"4";"0";"GEP/DAS/HBDF"
"01001001005009001";"NÚCLEO DE PESQUISA CLÍNICA E AVALIAÇÃO DE TECNOLOGIA EM SAÚDE/HBDF";"4";"0";"NPCATS/GEP/DAS/HBDF"
"01001001006";"DIRETORIA ADMINISTRATIVA/HBDF";"4";"0";"DA/HBDF"
"01001001006001";"GERÊNCIA DE PESSOAS/HBDF";"4";"0";"GP/DA/HBDF"
"01001001006001001";"NÚCLEO DE CADASTRO FUNCIONAL E FINANCEIRO/HBDF";"4";"0";"NUCAFF/GP/HBDF"
"01001001006001002";"NÚCLEO DE EDUCAÇÃO PERMANENTE EM SAÚDE/HBDF";"4";"0";"NEPS/GP/HBDF"
"01001001006001003";"NÚCLEO DE SEGURANÇA, HIGIENE E MEDICINA DO TRABALHO/HBDF";"4";"0";"NSHMT/GP/HBDF"
"01001001006001004";"NÚCLEO DE CONTROLE DE ESCALAS/HBDF";"4";"0";"NCE/GP/HBDF"
"01001001006002";"GERÊNCIA DE APOIO OPERACIONAL/HBDF";"4";"0";"GAO/DA/HBDF"
"01001001006002001";"NÚCLEO DE ENGENHARIA CLÍNICA E FÍSICA MÉDICA/HBDF";"4";"0";"NECFM/GAO/DA/HBDF"
"01001001006002002";"NÚCLEO DE TRANSPORTE/HBDF";"4";"0";"NUTRAN/GAO/DA/HBDF"
"01001001006002003";"NÚCLEO DE MATERIAL E PATRIMÔNIO/HBDF";"4";"0";"NMP/GAO/DA/HBDF"
"01001001006002004";"NÚCLEO DE CONTROLE E PRESTAÇÃO DE CONTAS/HBDF";"4";"0";"NCPC/GAO/DA/HBDF"
"01001001006002005";"NÚCLEO DE ATIVIDADES GERAIS E MANUTENÇÃO PREDIAL/HBDF";"4";"0";"NAGMP/GAO/DA/HBDF"
"01001001006002006";"NÚCLEO DE VIGILÂNCIA E PORTARIA/HBDF";"4";"0";"NVP/GAO/DA/HBDF"
"01001001006002007";"NÚCLEO DE HOTELARIA EM SAÚDE/HBDF";"4";"0";"NHS/GAO/DA/HBDF"
"01001001006002008";"NÚCLEO DE MATERIAL ESTERILIZADO/HBDF";"4";"0";"NME/GAO/DA/HBDF"
"01001001006003";"GERÊNCIA DE PLANEJAMENTO, CONTROLE E AVALIAÇÃO/HBDF";"4";"0";"GPCA/DA/HBDF"
"01001001006003001";"NÚCLEO DE ESTATÍSTICA/HBDF";"4";"0";"NUE/GPCA/DA/HBDF"
"01001001006003002";"NÚCLEO DE CAPTAÇÃO E ANÁLISE DE INFORMAÇÕES DO SUS/HBDF";"4";"0";"NCAIS/GPCA/DA/HBDF"
"01001001006003003";"NÚCLEO DE GESTÃO DE CUSTOS/HBDF";"4";"0";"NGC/GPCA/DA/HBDF"
"01001001006003004";"NÚCLEO DE PLANEJAMENTO, MONITORAMENTO E AVALIAÇÃO/HBDF";"4";"0";"NPMA/GPCA/DA/HBDF"
"01001001007";"DG";"4";"0";"DIRETORIA GERAL/HBDF"
"01001001008";"GRDMU/HBDF - Gerência de Registro, Documentação e Movimentação do Usuário";"4";"0";""
"01001001009";"Hospital Regional de Santa Maria - IGESDF";"4";"1";"HRSM - IGESDF"
"01001001010";"UPA NÚCLEO BANDEIRANTE - IGESDF";"4";"1";"UPA NB - IGESDF"
"01001001011";"UPA SÃO SEBASTIÃO - IGESDF";"4";"1";"UPA SS - IGESDF"
"01001001012";"UPA CEILÂNDIA - IGESDF";"4";"1";"UPA CEI. - IGESDF"
"01001001013";"UPA RECANTO DAS EMAS - IGESDF";"4";"1";"UPA RE - IGESDF"
"01001001014";"UPA SOBRADINHO - IGESDF";"4";"1";"UPA SOB. - IGESDF"
"01001001015";"UPA SAMAMBAIA - IGESDF";"4";"1";"UPA SAM - IGESDF"
"01001001016";"Compliance - IGESDF - INATIVADA 17 03 2021 - Reativada para inserção de resposta complementar em 24/04/23";"4";"0";"Compliance - IGESDF"
"01001001017";"HBDF - Hospital de Base do Distrito Federal - IGESDF";"4";"1";"HBDF - IGESDF"
"01001001018";"UPA Ceilândia II - IGESDF";"4";"1";"UPA Ceilândia II"
"01001001019";"UPA Paranoá - IGESDF";"4";"1";"UPA Paranoá - IGESDF"
"01001001020";"UPA Brazlândia - IGESDF";"4";"1";"UPA Brazlândia"
"01001001021";"UPA Gama - IGESDF";"4";"1";"UPA Gama - IGESDF"
"01001001022";"UPA Planaltina - IGESDF";"4";"1";"UPA Planaltina"
"01001001023";"UPA Riacho Fundo - IGESDF";"4";"1";"UPA Riacho Fundo"
"01001001024";"UPA Vicente Pires - IGESDF";"4";"1";"UPA Vicente Pires"
"01001001025";"HOSPITAL CIDADE DO SOL";"4";"1";"HCSOL"
"01001002";"HOSPITAL MATERNO INFANTIL DE BRASÍLIA - HMIB";"4";"1";"HMIB"
"01001002001";"INSTITUTO DE SAÚDE MENTAL";"4";"0";"ISM"
"01001002002";"GERÊNCIA DE REGISTRO, DOCUMENTAÇÃO E MOVIMENTAÇÃO DO USUÁRIO";"4";"0";"GRDMU"
"01001002002001";"GERÊNCIA DE MATRÍCULA, MARCAÇÃO DE CONSULTAS E PRONTUÁRIO DE PACIENTES";"4";"0";"GMCP"
"01001002003";"GRDMU/HMIB - Gerência de Registro, Documentação e Movimentação do Usuário";"4";"0";""
"01001002004";"SRSCS - Candangolândia, Núcleo Bandeirante, Park Way e Riacho Fundo";"4";"0";""
"01001003";"HOSPITAL REGIONAL DA ASA NORTE - HRAN";"4";"1";"HRAN"
"01001003001";"GIR - HRAN - GERÊNCIA INTERNA DE REGULAÇÃO";"4";"0";"GIR/HRAN"
"01001003001001";"GERÊNCIA DE MATRÍCULA, MARCAÇÃO DE CONSULTAS E PRONTUÁRIOS DE PACIENTES";"4";"0";"GMCP"
"01001003002";"GRDMU/HRAN - Gerência de Registro, Documentação e Movimentação do Usuário";"4";"0";""
"01001004";"HOSPITAL REGIONAL DO GUARÁ - HRGu";"4";"1";"HRGU"
"01001004001";"GIR - HRGu - GERÊNCIA INTERNA DE REGULAÇÃO";"4";"0";"GIR/HRGu"
"01001004001001";"GERÊNCIA DE MATRÍCULA, MARCAÇÃO DE CONSULTAS E PRONTUÁRIOS DE PACIENTES";"4";"0";"GMCP"
"01001004002";"GRDMU/HRGu - Gerência de Registro, Documentação e Movimentação do Usuário";"4";"0";""
"01001005";"HOSPITAL REGIONAL DE SAMAMBAIA - HRSam";"4";"1";"HRSAM"
"01001005001";"GIR - HRSAM - GERÊNCIA INTERNA DE REGULAÇÃO";"4";"0";"GIR/HRSAM"
"01001005001001";"GERÊNCIA DE MATRÍCULA, MARCAÇÃO DE CONSULTAS E PRONTUÁRIOS DE PACIENTES";"4";"0";"GMCP"
"01001005002";"GAOESP - HRSAM - GERÊNCIA DE APOIO OPERACIONAL DAS UNIDADES DE ATENÇÃO ESPECIALIZADA EM SAMAMBAIA";"4";"0";"GAOESP/HRSAM"
"01001005003";"GSAP 01 - SAMAMBAIA - GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 1 DE SAMAMBAIA";"4";"0";"GSAP 01/HRSAM"
"01001005004";"GSAP 02 - SAMAMBAIA - GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 2 DE SAMAMBAIA";"4";"0";"GSAP02/SAMABAIA"
"01001005005";"GSAP 04 - SAMAMBAIA - GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 4 DE SAMAMBAIA";"4";"0";"GSAP04/SAMAMBAIA"
"01001005006";"GSAP 07 - SAMAMBAIA - GERÊNCIA DE SERVIÇOS DE ATENÇÃO PRIMÁRIA 7 DE SAMAMBAIA";"4";"0";"GSAP07/SAMAMBAIA"
